2023-02-08 23:43:14.691[1675888994691] | INFO  | main       | o.h.e.t.j.p.i.JtaPlatformInitiator   - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-02-08 23:46:26.889[1675889186889] | INFO  | main       | org.hibernate.Version                - HHH000412: Hibernate ORM core version 5.6.9.Final
2023-02-08 23:46:27.542[1675889187542] | INFO  | main       | o.h.annotations.common.Version       - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-02-08 23:46:27.732[1675889187732] | WARN  | main       | o.hibernate.orm.connections.pooling  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2023-02-08 23:46:27.744[1675889187744] | INFO  | main       | o.hibernate.orm.connections.pooling  - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://localhost/OkexData]
2023-02-08 23:46:27.744[1675889187744] | INFO  | main       | o.hibernate.orm.connections.pooling  - HHH10001001: Connection properties: {password=****, user=postgres}
2023-02-08 23:46:27.744[1675889187744] | INFO  | main       | o.hibernate.orm.connections.pooling  - HHH10001003: Autocommit mode: false
2023-02-08 23:46:27.749[1675889187749] | INFO  | main       | o.h.e.j.c.i.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1)
2023-02-08 23:46:28.006[1675889188006] | INFO  | main       | org.hibernate.dialect.Dialect        - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-02-08 23:46:29.180[1675889189180] | INFO  | main       | org.hibernate.orm.connections.access - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@489bc8fd] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2023-02-08 23:46:29.415[1675889189415] | INFO  | main       | o.h.e.t.j.p.i.JtaPlatformInitiator   - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-02-08 23:48:34.772[1675889314772] | INFO  | main       | org.hibernate.Version                - HHH000412: Hibernate ORM core version 5.6.9.Final
2023-02-08 23:48:35.697[1675889315697] | INFO  | main       | o.h.annotations.common.Version       - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
